entity,count
'Interferons',2428
'Interleukin-1',2324
'interleukin-6',2265
'TNF protein,1330
'Receptors,1247
'TNF gene',1164
'Interferon-alpha',1118
'Interferon Type I',816
'Toll-like receptors',790
'interleukin-12',768
'interleukin-10',767
'Interferon Type I'],713
'Granulocyte-Macrophage Colony-Stimulating Factor',708
'gamma-interferon',704
'Interleukin-2',691
'TLR4 protein,585
'interleukin-4',574
'interleukin-8',565
'Janus kinase',526
'Interferons'],495
'Interleukin-17',473
'NF-kappa B',465
'Tumor Necrosis Factors'],453
['Interleukin-1',445
'Interleukin-13',423
'interleukin-23',416
'Stat3 protein',413
['Interferons',401
['TNF protein,396
'Toll-like receptors'],393
['interleukin-6',392
'Caspase-1',387
'Interleukin-18',378
'interferon type II',378
'Tumor Necrosis Factors',335
'IL17A protein,327
'MAPK14 gene',324
'Granulocyte Colony-Stimulating Factor',316
'Toll-Like Receptor Family Gene',312
'STING1 gene',297
'interleukin-5',293
Interleukin-1',293
'Immunoglobulins',289
'Interferon Lambda',289
'TLR7 protein,274
'IL33 protein,268
'Serine Endopeptidases',263
'Phosphotransferases',261
'Mitogen-Activated Protein Kinases',259
'Vascular Endothelial Growth Factor A',255
'C-reactive protein',255
'TYK2 gene',253
'Peptide Hydrolases',250
'interleukin-6'],247
'RNA-Directed RNA Polymerase',242
'TNF gene'],242
['C-reactive protein',239
'Interleukins',239
'Immunoglobulin E',235
['Interferon Type I',232
'NLRP3 gene',227
['TLR4 protein,221
['Interferon-alpha',220
'interleukin-9',215
'receptor',211
'CGAS gene',210
'Tumor Necrosis Factor Receptor',208
'DDX58 protein,207
['interleukin-10',198
'IRF3 protein,196
'Antigens,196
['Interleukin-17',194
'RORA protein,193
'collagen',186
'Fibroblast Growth Factor 2',184
'Matrix Metalloproteinases',181
['NLRP3 gene',179
['gamma-interferon',177
['TNF gene',176
'Monocyte Chemoattractant Protein-1',175
'MYD88 gene',175
'Erythropoietin',174
'Vascular Endothelial Growth Factor A'],174
Pattern Recognition',172
'Protein Tyrosine Kinase',171
'STAT protein',168
'interleukin-22',167
'Interleukin-15',166
'TLR9 gene',165
Human',164
'Interleukins'],164
'Interleukin-1'],162
'NLR Proteins',162
'TLR2 protein,160
'E-Selectin',158
'Glucocorticoid Receptor',156
'NLRP3 inflammasome complex',156
'TLR3 protein,155
'Fibroblast Growth Factor',154
'Janus kinase 2',153
'Gasdermins',152
'Interferon-alpha'],151
['Toll-like receptors',151
'NELFCD gene',151
'interleukin-7',150
'Intercellular adhesion molecule 1',149
'angiogenin',148
'IkappaB kinase activity',148
'Mitogen-Activated Protein Kinase 14',147
'Homo sapiens',143
'Interleukin 6 Receptor',142
'caspase',141
'KRAS wt Allele',138
'interferon-beta',137
'interleukin-3',137
'Th17 Cells',135
'Integrins',131
'Interferon Lambda'],131
['Interferons'],129
'FOXP3 gene',129
'Janus kinase 1',129
'CD40 Antigens',128
'IL12A gene',127
'T-Cell Receptor',126
['Stat3 protein',125
'Prostaglandin-Endoperoxide Synthase',124
'CCL2 gene',123
'STAT1 gene',123
'Polymerase',117
'NOS2A protein,116
'Chromogranin A',116
'PTGS2 protein,115
'Mitogen-Activated Protein Kinase Kinases',115
'Interleukin 2 Receptor',115
'JAK3 protein,114
'Recombinant Interferon Beta',114
'IL17F gene',114
'Receptor Protein-Tyrosine Kinases',113
['IL33 protein,113
'EXOSC2 gene',113
'CD40 Ligand',112
'RNA Helicase',112
'TNFSF11 protein,111
'Vascular Cell Adhesion Molecule-1',111
['TLR7 protein,109
'IL15 Antibody',108
'Pro-Interleukin-16,107
'phosphoric diester hydrolase',107
'Transforming Growth Factor beta',106
'IKBKG gene',106
'interleukin-21',106
'CDKN2A gene',105
['Tumor Necrosis Factors',105
['Interleukin-13',103
'IL12B protein,103
'Genes,102
'TLR8 protein,101
'Metalloproteases',101
'CX3CR1 protein,101
'Stat3 protein'],101
['NF-kappa B',100
'interleukin-1,100
'nucleoside triphosphatase',99
['Granulocyte-Macrophage Colony-Stimulating Factor',98
'ubiquitin conjugating enzyme activity',98
'Tryptophan Oxygenase',98
['STING1 gene',98
'NFI Transcription Factors',97
'interleukin-12 receptor activity',96
'Phosphodiesterase Type 4',95
'mitogen-activated protein kinase p38',93
['APOL1 gene',93
'DNA Helicases',93
['Fibroblast Growth Factor',92
'interferon type II'],92
'RNA,92
'interferon-gamma binding',91
'interleukin-10'],91
'Transcription Factor AP-1',91
['Janus kinase',91
Pattern Recognition'],90
'Intercellular Adhesion Molecules',90
['ubiquitin conjugating enzyme activity',90
'CXCL10 protein,90
'CD5L gene',89
Messenger',88
'IRAK1 gene',88
'Macrophage Colony-Stimulating Factor',88
'fibroblast growth factor-1',87
'immunoglobulin G',87
['interleukin-4',87
'JUN kinase activity',87
'Cyclin-Dependent Kinases',86
'Major Histocompatibility Complex',86
'IL1B gene',86
'IFNAR1 gene',84
'IL17D gene',83
'RIPK1 protein,83
'Serine Endopeptidases'],82
'Histocompatibility Antigens Class II',82
'IL23R protein,81
['IL17A protein,81
'IL1RAP protein,81
'CD274 protein,80
'T-helper cell type 2',80
beta',80
['C-reactive protein'],80
