entity,count
human',2402
'N-Methyl-D-Aspartate Receptors',774
human'],763
'Apolipoprotein E',727
['uridine triacetate',694
'uridine triacetate',652
'Amyloid beta-Peptides',558
'uridine triacetate'],488
'BACE1 gene',391
'Receptors,360
'tau Proteins'],360
['Apolipoprotein E',353
'Cyclic AMP-Dependent Protein Kinases',352
'tau Proteins',341
['uridine triacetate'],332
'APP gene',313
'Apolipoprotein E4',285
['brain-derived neurotrophic factor',277
'Amyloid',272
'brain-derived neurotrophic factor',267
'Aspartic Acid Endopeptidases',258
['N-Methyl-D-Aspartate Receptors',257
'phosphoric diester hydrolase',251
'Amyloid Proteins',228
'Glutamate Receptor',223
'alpha-Synuclein',217
['APP gene',212
'AMPA Receptors',205
['Apolipoprotein E'],204
'Amyloid beta-Peptides'],201
'Glutamate Receptor'],199
'Presenilin-1',188
'TARDBP gene',186
'brain-derived neurotrophic factor'],186
'Channel',185
'gamma-Secretase',179
'Apolipoprotein E'],170
'beta-Secretase',170
'acetylcholinesterase',170
'SNCG gene',169
['TARDBP gene',160
'Tubulin',159
['Apolipoprotein E4',158
'Membrane Transport Proteins',156
'Membrane Transport Proteins'],152
'Tubulin'],151
'Muscarinic Acetylcholine Receptor',150
'TREM2 protein,146
'N-Methyl-D-Aspartate Receptors'],146
'HD protein,142
'Receptor,142
'FYN gene',137
'Apolipoprotein E3',136
'MAPT gene',135
'GABA Receptor',134
['GABA Receptor',133
'Parvalbumins'],132
['FYN gene',128
'alpha-Synuclein'],123
'FMR1 gene',119
'Scaffold protein'],119
'Cyclic AMP-Dependent Protein Kinases'],118
'LDL-Receptor Related Protein 1',116
'Presenilins',114
['AMPA Receptors',111
'Angiotensins',109
'MAPT protein,107
'Parvalbumins',106
['alpha-Synuclein',106
'RNA Transcript',102
'PSEN1 gene',102
'Cu-Zn Superoxide Dismutase',99
'Presenilin-2',99
'BACE1 protein,98
'calmodulin-dependent protein kinase II',98
'Ion Channel',97
'GABA Receptor'],97
'Cyclic Nucleotide Phosphodiesterases,96
'Progranulins',95
Ionotropic Glutamate',94
['Amyloid beta-Peptides',94
['SNCG gene',94
'Nicotinic Receptors',91
'somatostatin',91
'Guanylate Cyclase',91
'Glial Fibrillary Acidic Protein',90
['phosphoric diester hydrolase',90
'glycine transporter',87
'Prions'],87
'Apolipoprotein E2',87
'Cyclic GMP-Dependent Protein Kinases',87
'Adenylate Cyclase',86
'SMN1 gene',85
'phosphoric diester hydrolase'],85
'TARDBP gene'],84
['Parvalbumins'],83
['Cyclic AMP-Dependent Protein Kinases',82
['TARDBP gene'],79
['Parvalbumins',78
['Glutamate Receptor',78
'APOE*4 Allele',76
'Cyclic AMP-Responsive DNA-Binding Protein',76
'CATHEPSIN D',74
['HD protein,73
['Amyloid',73
'Nerve Growth Factors'],73
Muscarinic M1',73
'Integral Membrane Proteins'],72
'somatostatin'],72
'N-Methylaspartate',72
'SCN9A gene',71
'GRIN2B gene',71
'Glycogen Synthase Kinase 3',71
'SNCA gene'],70
'Nerve Growth Factors',70
'PSEN1 protein,70
'PARK2 protein,70
'Prions',70
