entity,count
human',1360
'Actins',916
'Kinesin',415
['Actins',404
human'],301
'Myosin ATPase',287
'CD5L gene',285
'KIF11 gene',243
'Microfilaments',219
'Actins'],202
'KIF11 protein,189
'Monomeric GTP-Binding Proteins'],167
'Cardiac Myosins',158
'Myosin ATPase'],140
'Cadherins',128
'rho GTP-Binding Proteins',124
['Kinesin',117
'Dynein ATPase',117
'Dystrophin',115
'rho-Associated Kinases',115
'RHOA protein,110
'F-Actin',109
'Myosin Type II',108
'Integrins',105
['Myosin ATPase',102
['Actins'],101
'Actomyosin',99
'Actin-Binding Protein',99
['RHOA protein,86
'PKD1 gene',85
'Arp2/3 protein complex',84
'Catenins',80
'Guanine Nucleotide Exchange Factors',75
'Tropomyosin',75
'TRPP Cation Channels',72
'Guanosine Triphosphate Phosphohydrolases',72
'RHOD gene',70
'Kinesin'],70
Type I'],68
'RAC1 gene',68
'DNA Topoisomerases,68
['CD5L gene',68
'Platelet-Derived Growth Factor',67
Human',66
'TRPP Cation Channels'],64
'Troponin',64
'PKD2 gene',63
['Dynein ATPase',59
'CD5L gene'],59
'PKD1 protein,58
'GTP-Binding Proteins',58
'MYBPC3 gene',57
['Dystrophin',57
'Toxin',55
'Ventricular beta-Myosin',54
'CDC42 gene',53
'Dystrophin'],52
'E-Cadherin',51
'Monomeric GTP-Binding Proteins',50
'myosin phosphatase',49
'Actin Depolymerizing Factors',49
'Microfilaments'],47
'Troponin'],47
'Septins',44
['F-Actin',43
'Cadherins'],42
'angiotensin II',41
'Receptors,41
'Microtubules',40
'AKT1 protein,40
'Claudins',40
'Clathrin',39
'ROCK2 gene',38
'Troponin T',38
'ROCK1 gene',38
'Camptothecin',38
'Angiotensins',36
'Actin-Binding Protein'],36
'Myosin Light Chain Kinase',36
'Troponin I',36
'Ventricular alpha-Myosin',35
['PKD1 gene',35
'Actomyosin'],34
['Toxin',34
'Integrins'],34
['RAC1 gene',34
'rab GTP-Binding Proteins',33
'Protein-Serine-Threonine Kinases',33
['CD5L gene'],33
'KEAP1 gene',32
'Peptidyl-Dipeptidase A',32
'Endothelin-1',32
Cardiac-Type,32
'interleukin-1,32
'Toxin'],31
'Microtubule-Associated Proteins',30
'Head of myosin',30
'Ankyrins',30
'rho GTP-Binding Proteins'],30
'Myosin-Binding Protein C,29
'RHO gene',29
'Spectrin',29
['E-Cadherin',29
'PIAS1 protein,28
'Scaffold protein',28
'Vinculin',28
'Spectrin'],28
'Actin Capping Proteins',27
'G-Actin',27
'Phosphotransferases',27
'Utrophin',27
'FMN1 gene',27
'Cortactin',26
