entity,count
human',3954
'Integrins',1374
'collagen',1086
'Fibrin',763
'factor VIII',727
'thrombin',700
human'],656
'Serine Endopeptidases',639
'factor VII',630
'factor VIIa',597
'Thromboplastin',586
'factor IX',582
'Factor Xa',564
'Transforming Growth Factor beta',552
['collagen'],475
'TGFA protein,472
'fibrinogen',469
'prothrombin',465
'Matrix Metalloproteinases',465
['collagen',464
'factor X',437
'Integrins'],424
'von Willebrand factor',420
'Factor XIa',355
'collagen'],322
'F8 gene',303
'Metalloproteases',288
'Fibronectins',286
'Bone Morphogenetic Proteins',282
'Factor XII',267
'Receptors,267
['Integrins',265
'Factor XI',247
'kininogenase',235
'von Willebrand factor'],227
'Factor XIIa',214
'Factor IXa',213
'Transforming Growth Factors'],193
'High-Molecular-Weight Kininogen protein',189
['thrombin',186
['Transforming Growth Factor beta',183
'Matrix Metalloproteinases'],177
['TGFA protein,176
'Blood Coagulation Factor',169
'Receptor,168
['Bone Morphogenetic Proteins',164
'thrombin'],162
'Serine Endopeptidases'],160
['Matrix Metalloproteinases',157
'plasmin',154
'Transforming Growth Factor beta'],147
'Vascular Cell Adhesion Molecule-1',143
'Factor VIIIa',143
'antithrombin III',141
'Albumins',136
'Plasma Kallikrein',132
['factor VIII',132
'Polypeptides',132
'Laminin',131
'collagen type I'],131
'Thromboplastin'],129
'Matrix Metalloproteinase 2',123
'collagenase',122
['von Willebrand factor',118
'ADAMTS13 protein,117
'SMAD3 protein,117
'elastin',117
'Integrin alpha4beta1',115
'alpha 1-antitrypsin',113
'Immunoglobulins',113
'antihemophilic factor,111
'factor VIII'],107
'trypsin',102
'collagen type I',100
'F10 wt Allele',99
'Transforming Growth Factors',98
'factor VIII,98
'Bradykinin',96
'Prekallikrein',96
'Intercellular adhesion molecule 1',95
'Peptide Hydrolases',91
'F9 gene',90
'trypsin'],89
['Fibrin',89
human recombinant',89
'Kininogen',87
'GDF8 protein,86
'Matrix Metalloproteinase 9',85
'angiotensin II',84
'factor XIII',83
'CD11b Antigens',82
'Bone Morphogenetic Proteins'],81
['Albumins'],81
'Protein C (activated)',80
'Factor Va',80
'protein C',80
'Factor V',80
'TNF gene',79
'plasminogen',78
'Leukocyte Elastase',78
'CD18 Antigens',77
'prothrombinase complex',77
'Cysteine Proteases',77
'MMP1 protein,74
'Macrophage-1 Antigen',74
'Aspartic Acid Endopeptidases',73
'MADCAM1 protein,71
'Focal Adhesion Kinase 1',70
['factor VIIa',70
'connective tissue growth factor',69
'Carboxypeptidase B2',68
Human',68
'Kinins',68
['Fibrin'],68
['Factor Xa',67
Proteinase-Activated',67
'Disintegrins',67
['Plasma Kallikrein',66
'elastin'],65
'GFUS gene',65
'Intercellular Adhesion Molecules',64
'Chymase',62
'Pancreatic Elastase',62
'Blood Platelets',61
['Thromboplastin',61
['factor IX',61
'Collagen fibril',61
'Carboxypeptidase',60
'CD29 Antigen',60
'Protein-Lysine 6-Oxidase',60
'aprotinin',59
'ITGAD protein,59
'osteopontin',59
'Integration Host Factors',58
Transforming Growth Factor-beta Type I',58
'trypsin-like serine protease'],58
'Thrombospondin 1',57
'Serine Proteases',57
'Vascular Endothelial Growth Factor A',57
'Lymphocyte Function-Associated Antigen-1',56
'Platelet-Derived Growth Factor',56
'Thrombin Receptor',56
'Cathepsins',55
['Transforming Growth Factor beta'],55
['F8 gene',54
'Fibronectins'],54
['Integrins'],54
'Cell Adhesion Molecules',53
'Metalloproteases'],53
'Complement component C1s',53
'caspase-5',53
['Fibronectins',52
['thrombin'],52
'Vitronectin',52
'Albumins'],52
['Albumins',51
'alpha 2-Glucoproteins',51
'Agammaglobulinaemia tyrosine kinase',51
'urokinase'],51
'SMAD4 protein,51
'MMP14 protein,51
'Thrombomodulin',51
['alpha-Fetoproteins',50
'urokinase',50
'Integrin beta Chains',50
'ADAMTS13 Protein',49
'Integrin Binding',49
'CD5L gene',48
'KLKB1 protein,48
'protein S',48
'THBS1 gene',48
['fibrinogen',47
'GP1BA protein,47
'Fibrin'],47
'protein C,46
'POSTN protein,45
'Vascular Cell Adhesion Molecule-1'],45
'cathepsin K',45
'F11 gene',45
'recombinant FVIIa',44
'Bone Morphogenetic Protein Receptors',44
'Integrin Alpha-4,44
'Homo sapiens',43
'Thrombospondins',43
'TNF protein,43
'CD11a Antigen',43
'Gelatinases',42
'Matrix Metalloproteinase 3',42
'fibrillin-1',42
'Laminin'],42
'GDF11 gene',41
'Transglutaminases',41
'Peptidyl-Dipeptidase A',41
Collagen',41
'ICAM3 protein,40
'ADAMTS',40
'SERPINA1 gene',40
'Fibroblast Growth Factor',40
'fibrinogen'],39
'Intercellular Adhesion Molecule 2',39
'Toll-like receptors',39
'ADAMTS Proteins',39
'von Willebrand Factor Multimers Measurement',39
'Catenins',38
'Cathepsins B',38
'nerve growth factor',38
['GDF8 protein,38
'ADAMTS13 gene',38
'Osteocalcin',38
'MMP13 protein,38
'TFPI gene',38
'Collagen Type IV',38
'factor X'],37
'transforming growth factor-beta type II receptor',37
'F3 gene',37
'Activins',37
'BMP1 gene',36
'pepsin A',36
['Matrix Metalloproteinase 9',36
'CD11c Antigens',36
'CCL2 gene',36
'YAP1 protein,36
'GAS6 gene',36
'SERPING1 protein,36
'Cytochrome P450',35
'ACVR1 gene',35
'Sirtuins',35
'Low-Density Lipoproteins',35
'Protein-Lysine 6-Oxidase'],34
'osteopontin'],34
'chymotrypsin',34
'CCR2 gene',33
'bone morphogenetic protein receptor type II',33
['Integrin alpha4beta1',33
['alpha 1-antitrypsin',33
'Complement C1 Inactivator Proteins',33
PAR-1',33
Antigen,33
B-Cell',33
'Bone morphogenic protein',32
'Fibrin monomer',32
'Thrombin Receptor'],32
'vitamin K',32
'CATHEPSIN D',31
'PDGFRA gene',31
'Galectin 3',31
'chrysarobin',31
['connective tissue growth factor',31
'Actins',31
'LTBP2 protein,31
'tenascin complex',31
'PTH protein,31
'matrix Gla protein',31
'ADAM Family Gene',30
'Platelet Glycoprotein GPIIb-IIIa Complex',30
'Genes,30
'TGFB1 protein,30
'Lectin',30
'interleukin-4',30
'NAMPT gene',30
'Serpins',30
'recombinant antihemophilic factor VIII',30
'CCL7 protein,30
'F2R gene',30
'Collagen Alpha-1(II) Chain',30
'Neutrophil Collagenase',29
'bone morphogenetic protein 4',29
'caspase',29
'Immunoglobulin Fv Fragments',29
'Endothelium',29
['Galectin 3',29
['Platelet Factor 4',29
'ADAM8 protein,29
'Collagen fibril'],29
'ACTN1 protein,29
'Protein Tyrosine Kinase'],29
'factor VII zymogen'],29
['collagen type I',29
['SMAD3 protein,29
['Matrix Metalloproteinases'],29
'TRPV4 protein,28
'Anti-Mullerian Hormone Receptor Type II,28
'BMP2 gene',28
'MMP7 protein,28
['Receptors,28
'Disintegrin Domain',28
'immunoglobulin G',28
'receptor',28
['ADAMTS13 protein,28
'CTHRC1 gene',28
'CPB2 gene',28
'Monocyte Chemoattractant Protein-1',28
'alpha-Fetoproteins',27
'von Willebrand factor,27
['cyclooxygenase 2',27
'Transglutaminases'],27
['Intercellular adhesion molecule 1',27
'somatropin',27
'B-Cell Receptor Complex',27
'Renin',27
'albumin human,27
'factor VII,27
['plasmin',27
MHC Class II',27
'Bone Morphogenetic Protein Receptors,27
['Thrombospondin 1',26
'Protein Disulfide-Isomerases',26
'alpha-Fetoproteins'],26
'CD11 Antigens',26
'COL1A1 protein,26
'collagen type II',26
'prothrombin'],26
'cyclooxygenase 2'],26
'COMPLEMENT FACTOR H',26
'epidermal growth factor',26
'SDC1 protein,26
'ITGB1 gene',26
'Collagen Gene',26
'cathepsin S',25
'SMAD2 gene',25
'Factor XIIIa',25
'intrinsic tenase',25
['Receptor,25
['Thrombin Receptor',25
'Talin',25
'dornase alfa',25
'Integrin alphaVbeta3',25
'Activin Receptor',25
'Cyclic Nucleotide Phosphodiesterases,25
Type 5',25
'Angiotensins',25
['Protein Disulfide-Isomerases',25
USP',25
'GDF15 gene',24
'activin A',24
['Lymphocyte Function-Associated Antigen-1',24
'bone morphogenetic protein 7',24
'Glycogen Synthase Kinase 3',24
'SLC3A2 gene',24
['alpha 1-antitrypsin'],24
'Peroxisome Proliferator-Activated Receptors',24
'G-Protein-Coupled Receptors',24
['Protein-Lysine 6-Oxidase',24
'paired basic amino acid cleaving enzyme',24
['F10 wt Allele',24
['Bone Morphogenetic Proteins'],24
'Integrin alpha5beta1',24
'alpha 1-antitrypsin'],23
'gelatin',23
'Blood Coagulation Factor'],23
'Blood Platelets'],23
'Immunoglobulin E',23
'Monoamine Oxidase',23
['fibrillin-1',23
'MMP16 protein,23
'Calpain',23
['Factor IXa',23
'factor IX'],23
'Tenascin,23
'NF-kappa B',23
'Fibroblast Growth Factor 2',23
'Urokinase Plasminogen Activator Receptor',23
'CD31 Antigens',22
'ORF74 protein,22
'BSG gene',22
'Integrin alpha4',22
['Focal Adhesion Kinase 1',22
'MET Gene Mutation Negative'],22
'Protein Disulfide-Isomerases'],22
'PDCD1 protein,22
'peroxidase',22
'Thrombospondin 1'],22
'Growth Differentiation Factor 15',22
'Leukocyte Elastase'],22
'immunoglobulin A,22
'Endoglin,22
'prothrombin complex',22
Lysophosphatidic Acid',22
'Recombinant Monocyte Chemoattractant Protein-1',22
'Alkaline Phosphatase',22
'LOXL2 gene',22
'ADAM Proteins',21
'PRSS1 protein,21
Messenger',21
'Collagen Type IV'],21
'Procollagen',21
USP'],21
['Cathepsins B',21
['factor VII',21
Human herpesvirus 8',21
PAR-2',21
'Integrin alpha2beta1',21
'Extracellular Matrix Proteins',21
'hyaluronidase'],21
'Membrane Glycoproteins',21
'Laminin Receptor',21
'Sialyltransferases'],21
'catalase',21
'biotin',21
'TNXA gene',21
'Platelet Factor 4',21
'Angiotensin I',21
'BACE1 gene',21
Angiotensin,21
['elastin',20
'Amine Oxidase (Copper-Containing)',20
'IGBP1 gene',20
'Cathepsin G',20
'Smad Proteins',20
'TAFAZZIN gene',20
'Amyloid Proteins',20
'FOXP3 gene',20
'COL4A5 gene',20
['Serine Endopeptidases',20
'Latent TGF-beta Binding Proteins',20
'Tetraspanins'],20
'Prostaglandin-Endoperoxide Synthase',20
'ACVR1 protein,20
'Carboxypeptidase A',20
'MMP10 protein,20
'Vascular Endothelial Growth Factor A'],20
'glycosyltransferase',20
'Matrix Metalloproteinase 2'],20
'Antigens,20
['trypsin'],20
'MMP-12 activity',19
'ACVR2A protein,19
'Pleckstrin Homology Domains',19
['albumin human,19
'Tumor Necrosis Factors'],19
'P-Selectin',19
'Proprotein Convertases',19
'Erythropoietin',19
['fibrinogen'],19
'decorin',19
'COL1A2 gene',19
'Protein Tyrosine Kinase',19
'TRYPTASE'],19
['Cystatin C (substance)'],19
'Platelet-Derived Growth Factor Receptor',19
'RNA,19
'SOST gene',19
'PLG gene',19
'F8 gene'],19
'Lactate Dehydrogenase',19
'Immunoglobulin M',19
'Ubiquitin'],18
'Apolipoprotein E',18
'SMAD7 gene',18
'Receptor Protein-Tyrosine Kinases',18
'Growth Factor',18
'N-Acetylglucosaminyltransferases',18
'TNM certainty factor C1',18
'Integrin beta3',18
'MMP9 gene',18
Type I',18
'fibrillin-1'],18
['Agammaglobulinaemia tyrosine kinase',18
'TRPC6 Cation Channel',18
'Hemoglobin,18
'TGFBR1 gene',18
'collagenase'],18
'Leucine-Rich Repeat-Containing Protein 32,18
Sickle',18
'TGF-beta Superfamily Proteins',18
'Aggrecans',18
'discoidin domain receptor 2',18
'GREM1 gene',18
'Pepstatins',18
['Laminin',17
'Interleukin-1',17
['interleukin-10',17
Notch',17
'F11R protein,17
'Follistatin',17
['Transforming Growth Factors',17
'Hypoxia-Inducible Factor 1',17
'MAPK14 gene',17
'TNFSF13B gene',17
'Platelet Factor 4'],17
'von Willebrand factor multimer',17
'Androgen Receptor',17
'CD29 Antigen'],17
'KLK10 gene',17
'Mannose Binding Lectin',17
'bone morphogenetic protein 2',17
'trypsin-like serine protease',17
['SDC1 protein,17
'Urokinase Plasminogen Activator Receptor'],17
['B-Cell Receptor Complex',17
'ADAM17 gene',17
'KLF4 protein,17
['osteopontin',17
'chymosin',17
'Insulin',17
'Insulin-Like Growth Factor I',17
['SMAD4 protein,17
'Growth Differentiation Factors',16
'rho-Associated Kinases',16
'HSP90 Heat-Shock Proteins',16
'Protein-arginine deiminase',16
['kininogenase',16
'rNAPc2',16
'Collagen Type III',16
'GDF15 protein,16
'MMP13 gene',16
'drotrecogin alfa',16
'Tumor Necrosis Factors',16
'Angiotensin Receptor',16
['Leukocyte Elastase',16
'KLK6 protein,16
'src-Family Kinases',16
Proteinase-Activated'],16
'MAP3K7 gene',16
'Antiplasmin',16
'Receptor-Activated SMAD',16
['Factor XI',16
['Cytokeratin'],16
['Bone morphogenic protein',16
'Thrombomodulin'],16
'Transforming Growth Factor beta Receptors',16
'RHOA protein,16
'NR1H4 gene',16
'Factor IIa',16
'TLR4 protein,16
'TGM2 protein,16
'ACVRL1 gene',16
'Integrin alpha4beta1'],15
['F9 gene',15
Human'],15
'GP6 gene',15
'HAVCR1 protein,15
'Activin Receptors,15
'CD44 Antigens',15
'Factor Xa'],15
'CD40 Ligand',15
'ACTA2 gene',15
['Transglutaminases',15
['Polypeptides',15
'TNFSF11 protein,15
'recombinant antihemophilic factor VIII'],15
'Focal Adhesion Kinase 1'],15
'amylase',15
['biotin'],15
'Cytoskeletal Filaments',15
'Discoidin Domain Receptor 1',15
'fibrillin',15
'Nicotinamide Phosphoribosyltransferase'],15
'E-Cadherin',15
'SRC gene',15
['Vascular Cell Adhesion Molecule-1',15
['NAMPT gene',15
['bone morphogenetic protein receptor type II',15
'SPHK1 gene',15
['Interstitial Collagenase',15
'MMP11 protein,15
'Leukotriene D4',15
'DSPP gene',15
'Polypeptides'],15
'matrix metalloproteinase 12',15
'SERPINA1 gene'],15
'GREM1 protein,15
'Cytokeratin',15
'Immune Globulin (Human)',14
['Blood Coagulation Factor',14
'Regulatory T-Lymphocytes',14
'Phosphotransferases',14
['trypsin',14
'TGFB3 protein,14
'Bone morphogenic protein'],14
'Galactose Binding Lectin',14
'Histone Deacetylase',14
['collagenase'],14
['Protein C (activated)',14
'LRP1 gene',14
'Bone Morphogenetic Protein Receptor Gene',14
'Proprotein Convertase 1',14
'Nicotinamide Phosphoribosyltransferase',14
'collagen binding',14
'Matrix Metalloproteinase 9'],14
['Platelet-Derived Growth Factor',14
'LOX gene',14
'CELSR2 gene',14
'Heparin Cofactor II',14
'Ephrins',14
['MMP14 protein,14
['TRPV4 protein,14
'ARGINASE',14
'ITGA6 protein,14
'Amino Acids',14
Type 1',14
'coagulation factor IX,14
'Thrombospondins'],14
'ALK gene',14
'NADPH Oxidase',14
['SERPINA1 gene',14
Membrane-Associated',14
'Interstitial Collagenase',14
'Cytokeratin'],14
'ZEB1 gene',14
'Endothelin Receptor',14
'FERMT3 protein,14
'Interleukin-13',14
PAR-2'],14
'Matrix Metalloproteinases,14
'CTGF protein,14
['MFGE8 protein,14
['P-Selectin',14
'integrin-binding sialoprotein',13
'Aspartic Acid Proteases',13
'ACTC1 gene',13
'N-(4-carboxyphenyl)retinamide',13
['GDF11 gene',13
'Vitronectin'],13
'Tissue Kallikrein',13
'CCL5 gene',13
['Macrophage-1 Antigen',13
'TRANSCRIPTION FACTOR',13
